75.6693344116211,28.7509994506836,183.236740112305	75.6693344116211,32.8880004882812,183.236740112305	52.8193130493164,32.8880004882812,192.794692993164	52.8193130493164,28.7509994506836,192.794692993164	77.5040054321289,28.7509994506836,187.622848510742	77.5040054321289,32.8880004882812,187.622848510742	54.6539840698242,32.8880004882812,197.180801391602	54.6539840698242,28.7509994506836,197.180801391602
75.6693344116211,28.7509994506836,183.236740112305	75.6693344116211,32.8880004882812,183.236740112305	52.8193130493164,32.8880004882812,192.794692993164	52.8193130493164,28.7509994506836,192.794692993164	77.5040054321289,28.7509994506836,187.622848510742	77.5040054321289,32.8880004882812,187.622848510742	54.6539840698242,32.8880004882812,197.180801391602	54.6539840698242,28.7509994506836,197.180801391602
71.9750747680664,30.0979995727539,194.433624267578	71.9750747680664,34.7379989624023,194.433624267578	56.3281402587891,34.7379989624023,201.237854003906	56.3281402587891,30.0979995727539,201.237854003906	73.8218536376953,30.0979995727539,198.680450439453	73.8218536376953,34.7379989624023,198.680450439453	58.174919128418,34.7379989624023,205.484680175781	58.174919128418,30.0979995727539,205.484680175781
84.6560363769531,28.9890003204346,198.551467895508	84.6560363769531,33.4609985351562,198.551467895508	59.8417282104492,33.4609985351562,209.569305419922	59.8417282104492,28.9890003204346,209.569305419922	86.5544357299805,28.9890003204346,202.827026367188	86.5544357299805,33.4609985351562,202.827026367188	61.7401275634766,33.4609985351562,213.844863891602	61.7401275634766,28.9890003204346,213.844863891602
81.2718505859375,28.7600021362305,180.733917236328	81.2718505859375,33.0009994506836,180.733917236328	65.6602478027344,33.0009994506836,187.05891418457	65.6602478027344,28.7600021362305,187.05891418457	83.039306640625,28.7600021362305,185.096420288086	83.039306640625,33.0009994506836,185.096420288086	67.4277038574219,33.0009994506836,191.421417236328	67.4277038574219,28.7600021362305,191.421417236328
78.2176361083984,30.1189975738525,192.012161254883	78.2176361083984,34.890998840332,192.012161254883	65.9046401977539,34.890998840332,197.1298828125	65.9046401977539,30.1189975738525,197.1298828125	79.9332504272461,30.1189975738525,196.139831542969	79.9332504272461,34.890998840332,196.139831542969	67.6202545166016,34.890998840332,201.257553100586	67.6202545166016,30.1189975738525,201.257553100586
86.4732437133789,30.3479995727539,188.241668701172	86.4732437133789,35.3899993896484,188.241668701172	67.6086120605469,35.3899993896484,196.031433105469	67.6086120605469,30.3479995727539,196.031433105469	88.2656402587891,30.3479995727539,192.582336425781	88.2656402587891,35.3899993896484,192.582336425781	69.401008605957,35.3899993896484,200.372100830078	69.401008605957,30.3479995727539,200.372100830078
104.756881713867,28.9489974975586,170.506820678711	104.756881713867,35.0309982299805,170.506820678711	77.2022247314453,35.0309982299805,182.145446777344	77.2022247314453,28.9489974975586,182.145446777344	106.610565185547,28.9489974975586,174.895446777344	106.610565185547,35.0309982299805,174.895446777344	79.055908203125,35.0309982299805,186.534072875977	79.055908203125,28.9489974975586,186.534072875977
90.4426879882812,29.3479995727539,196.644470214844	90.4426879882812,33.7990036010742,196.644470214844	77.5291900634766,33.7990036010742,202.310317993164	77.5291900634766,29.3479995727539,202.310317993164	92.1114044189453,29.3479995727539,200.447799682617	92.1114044189453,33.7990036010742,200.447799682617	79.1979064941406,33.7990036010742,206.113647460938	79.1979064941406,29.3479995727539,206.113647460938
89.3753662109375,31.1800003051758,186.800048828125	89.3753662109375,35.5699996948242,186.800048828125	81.5225219726562,35.5699996948242,190.363235473633	81.5225219726562,31.1800003051758,190.363235473633	91.0638427734375,31.1800003051758,190.521255493164	91.0638427734375,35.5699996948242,190.521255493164	83.2109985351562,35.5699996948242,194.084442138672	83.2109985351562,31.1800003051758,194.084442138672
99.0048141479492,29.4879989624023,192.855377197266	99.0048141479492,34.3209991455078,192.855377197266	81.7812423706055,34.3209991455078,199.565567016602	81.7812423706055,29.4879989624023,199.565567016602	100.654273986816,29.4879989624023,197.08918762207	100.654273986816,34.3209991455078,197.08918762207	83.4307022094727,34.3209991455078,203.799377441406	83.4307022094727,29.4879989624023,203.799377441406
85.5341415405273,30.7700004577637,178.469451904297	85.5341415405273,25.6779975891113,178.469451904297	88.1498718261719,25.6779975891113,181.624801635742	88.1498718261719,30.7700004577637,181.624801635742	82.4028778076172,30.7700004577637,181.065231323242	82.4028778076172,25.6779975891113,181.065231323242	85.0186080932617,25.6779975891113,184.220581054688	85.0186080932617,30.7700004577637,184.220581054688
91.7639770507812,30.939001083374,185.729873657227	91.7639770507812,35.7900009155273,185.729873657227	82.8514099121094,35.7900009155273,189.952926635742	82.8514099121094,30.939001083374,189.952926635742	93.7010345458984,30.939001083374,189.817947387695	93.7010345458984,35.7900009155273,189.817947387695	84.7884674072266,35.7900009155273,194.041000366211	84.7884674072266,30.939001083374,194.041000366211
100.277946472168,31.3390026092529,181.937133789062	100.277946472168,36.75,181.937133789062	87.7945251464844,36.75,187.633026123047	87.7945251464844,31.3390026092529,187.633026123047	102.198547363281,31.3390026092529,186.146423339844	102.198547363281,36.75,186.146423339844	89.7151260375977,36.75,191.842315673828	89.7151260375977,31.3390026092529,191.842315673828
106.267486572266,29.8600025177002,189.24055480957	106.267486572266,34.8390045166016,189.24055480957	89.3725280761719,34.8390045166016,196.615249633789	89.3725280761719,29.8600025177002,196.615249633789	107.928787231445,29.8600025177002,193.046493530273	107.928787231445,34.8390045166016,193.046493530273	91.0338287353516,34.8390045166016,200.421188354492	91.0338287353516,29.8600025177002,200.421188354492
113.032981872559,31.7809982299805,176.343032836914	113.032981872559,38.609001159668,176.343032836914	92.2387542724609,38.609001159668,185.755599975586	92.2387542724609,31.7809982299805,185.755599975586	114.91535949707,31.7809982299805,180.501571655273	114.91535949707,38.609001159668,180.501571655273	94.1211318969727,38.609001159668,189.914138793945	94.1211318969727,31.7809982299805,189.914138793945
112.778526306152,30.0890007019043,166.848480224609	112.778526306152,36.0180015563965,166.848480224609	92.8787155151367,36.0180015563965,175.529541015625	92.8787155151367,30.0890007019043,175.529541015625	114.444709777832,30.0890007019043,170.667907714844	114.444709777832,36.0180015563965,170.667907714844	94.5448989868164,36.0180015563965,179.348968505859	94.5448989868164,30.0890007019043,179.348968505859
132.982543945312,30.2899990081787,177.434432983398	132.982543945312,37.8989944458008,177.434432983398	94.9423522949219,37.8989944458008,194.246017456055	94.9423522949219,30.2899990081787,194.246017456055	134.875259399414,30.2899990081787,181.717147827148	134.875259399414,37.8989944458008,181.717147827148	96.8350601196289,37.8989944458008,198.528732299805	96.8350601196289,30.2899990081787,198.528732299805
128.782699584961,33.359001159668,169.523529052734	128.782699584961,41.6689987182617,169.523529052734	101.190444946289,41.6689987182617,181.791595458984	101.190444946289,33.359001159668,181.791595458984	130.688842773438,33.359001159668,173.810638427734	130.688842773438,41.6689987182617,173.810638427734	103.096588134766,41.6689987182617,186.078704833984	103.096588134766,33.359001159668,186.078704833984
119.596794128418,31.1500015258789,163.93376159668	119.596794128418,36.9690017700195,163.93376159668	102.101356506348,36.9690017700195,171.620452880859	102.101356506348,31.1500015258789,171.620452880859	121.426475524902,31.1500015258789,168.098236083984	121.426475524902,36.9690017700195,168.098236083984	103.931037902832,36.9690017700195,175.784927368164	103.931037902832,31.1500015258789,175.784927368164
124.672508239746,32.3689994812012,161.792083740234	124.672508239746,37.648998260498,161.792083740234	111.677696228027,37.648998260498,166.829177856445	111.677696228027,32.3689994812012,166.829177856445	126.37296295166,32.3689994812012,166.178939819336	126.37296295166,37.648998260498,166.178939819336	113.378150939941,37.648998260498,171.216033935547	113.378150939941,32.3689994812012,171.216033935547
124.250442504883,20.5979995727539,166.727264404297	124.250442504883,15.1289987564087,166.727264404297	130.006500244141,15.1289987564087,175.432769775391	130.006500244141,20.5979995727539,175.432769775391	119.292892456055,20.5979995727539,170.005187988281	119.292892456055,15.1289987564087,170.005187988281	125.048950195312,15.1289987564087,178.710693359375	125.048950195312,20.5979995727539,178.710693359375
124.189819335938,20.5100002288818,174.451553344727	124.189819335938,14.9400005340576,174.451553344727	119.763053894043,14.9400005340576,170.300384521484	119.763053894043,20.5100002288818,170.300384521484	127.92537689209,20.5100002288818,170.467987060547	127.92537689209,14.9400005340576,170.467987060547	123.498611450195,14.9400005340576,166.316818237305	123.498611450195,20.5100002288818,166.316818237305
151.919418334961,31.0890007019043,148.007598876953	151.919418334961,38.0209999084473,148.007598876953	120.414916992188,38.0209999084473,163.72770690918	120.414916992188,31.0890007019043,163.72770690918	154.005065917969,31.0890007019043,152.187423706055	154.005065917969,38.0209999084473,152.187423706055	122.50057220459,38.0209999084473,167.907531738281	122.50057220459,31.0890007019043,167.907531738281
125.154136657715,20.5590019226074,169.604568481445	125.154136657715,15.0900011062622,169.604568481445	128.701644897461,15.0900011062622,176.125610351562	128.701644897461,20.5590019226074,176.125610351562	120.539352416992,20.5590019226074,172.115051269531	120.539352416992,15.0900011062622,172.115051269531	124.086860656738,15.0900011062622,178.636093139648	124.086860656738,20.5590019226074,178.636093139648
129.939437866211,36.7089996337891,169.274765014648	129.939437866211,41.9680023193359,169.274765014648	121.195053100586,41.9680023193359,172.790985107422	121.195053100586,36.7089996337891,172.790985107422	131.623489379883,36.7089996337891,173.462768554688	131.623489379883,41.9680023193359,173.462768554688	122.879104614258,41.9680023193359,176.978988647461	122.879104614258,36.7089996337891,176.978988647461
125.251663208008,42.5379943847656,157.352798461914	125.251663208008,38.0690002441406,157.352798461914	129.007736206055,38.0690002441406,164.986831665039	129.007736206055,42.5379943847656,164.986831665039	121.041496276855,42.5379943847656,159.424270629883	121.041496276855,38.0690002441406,159.424270629883	124.797561645508,38.0690002441406,167.058303833008	124.797561645508,42.5379943847656,167.058303833008
125.663803100586,40.6600036621094,158.59538269043	125.663803100586,34.2890014648438,158.59538269043	128.539031982422,34.2890014648438,164.475082397461	128.539031982422,40.6600036621094,164.475082397461	121.89274597168,40.6600036621094,160.439468383789	121.89274597168,34.2890014648438,160.439468383789	124.767974853516,34.2890014648438,166.31916809082	124.767974853516,40.6600036621094,166.31916809082
